course_name,distance,start_point_name,last_point,course_level,course_points,start_coordinates,end_coordinates
월드컵공원 나들길,19.29km,월드컵경기장역 2번 출입구,평화의공원,3,매봉산입구~난지천공원~노을공원~메타세콰이어길~하늘공원~평화의공원,"(126.899973421904, 37.5753522204347)","(126.89494717019, 37.5624708313012)"
신촌대학탐방 나들길,6.14km,대흥역 1번 출입구,연세대동문,2,서강대정문~노고산~이대정문~연세대동문,"(126.94548461753298, 37.539603410211704)","(126.945759633944, 37.5660622423696)"
상암산 DMC 체험나들길,4.62km,디지털미디어시티역 2번 출입구,매봉산근린공원,2,상암DMC~상암근린공원~매봉산근린공원,"(126.899973421904, 37.5753522204347)","(126.895130423477, 37.5738487629808)"
굴포천(대두둑천),9.35Km,개화동,덕산초등학교대장분교장,1,개화동버스정류장 인근~굴포천하류 인근~김포공항 인근~굴포천상류 인근~덕산초등학교대장분교장 인근,"(126.80616918849312, 37.58166675610356)","(126.791177816437, 37.542233464259)"
강서한강길,8.91Km,전호리마을회관,염창동동아아파트,1,전호리마을회관 인근~서울도시철도공사방화차량기지 인근~강서습지생태공원 인근~축구장 인근~양천향교 인근~가양역 인근~염창동동아아파트 인근,"(126.794971016766, 37.6015831557388)","(126.87286234897358, 37.55469784121982)"
우장산 공원 산책길,2.51km,강서구민회관,한국폴리텍대학앞,1,우장상공원 출입구~우장산생태육교~한국폴리텍대학앞,"(126.843639276562, 37.5535013732138)","(128.66904308520662, 35.22553400081015)"
봉제산 숲 나들길,2.61km,백석중학교후문,등촌중학교후문길,1,담소터~봉제산배드민턴장~등서초등학교운동장~등촌중학교후문길,"(126.858958714072, 37.5483237119528)","(126.859231514504, 37.5524938548861)"
"개화산 나들길(강서 둘레길 1,2코스)",7.74km,내촌마을,약사사,2,하늘길 전망대~개화산 호국충혼비~약사사,"(128.022308321619, 35.8052027678142)","(126.805527673276, 37.5832532491794)"
강서문화 산책길,2.51km,구암공원,허준박물관,1,양천향교~겸재정선기념관~구암공원~허준박물관,"(126.852288177516, 37.5681915373236)","(126.850998403189, 37.5678799742891)"
구로 지양산 숲 나들길,6.90km,구로지양산숲길,궁동터널 위 지양산 숲길 시작,2,지양산 숲길~차돌바위~궁동터널 위 지양산 숲길 시작,"(126.82435212191209, 37.51423030750184)","(126.83099908557676, 37.506455334547866)"
개웅산 숲 산책길,1.50km,배드민턴장,숲속길,1,배드민턴장~야생화단지~숲속길,"(127.430460586297, 36.3180130202897)","(127.2330617107263, 37.01040974000176)"
목감천,3.71Km,평강성서유물박물관,광일초등학교,1,목감천공영무료주차장 인근~개봉3동주민센터 인근~개명초등학교 인근~광일초등학교 인근,"(126.84405487638372, 37.49195809528819)","(129.02980492813276, 35.10384226285341)"
용왕산 나들길,2.63km,신목동역 1번 출입구,달거리약수터,1,용왕산 진입로~용왕정~달거리약수터,"(126.8825316642258, 37.544675243819746)","(126.87964838122834, 37.54329381207953)"
서서울호수공원 산책길,0.96km,버스정류장(서서울호수공원),서서울 호수공원,1,서서울 호수공원,"(126.830251743957, 37.5283197900701)","(126.830251743957, 37.5283197900701)"
달마을공원 산책길,0.59km,생태연못,보호초식물화원,1,진입마당~생태연못~야생초화원~달맞이언덕~아카시아나무 숲길~전망데크~숲속길~보호초식물화원,"(127.08286183982032, 37.27525017296998)","(126.868473273547, 37.5432530617707)"
영등포동작구한강길,21.1Km,나이아가라 호텔,국립현충원,1,나이아가라관광호텔 인근~선유도 인근~KBS견학홀 인근~여의나루역수상택시 인근~조선이흠례묘지 인근~노들섬 인근~국립현충원 인근,"(126.87862382972229, 37.54918529379859)","(126.97840898031565, 37.4998239211339)"
