course_name,distance,start_point_name,last_point,course_level,course_points
송파강동한강길,17.98Km,종합운동장역 지하철 2호선,춘천고속도로,1,잠실한강공원 인근~잠실대교 인근~한강공원광나루지구 인근~광나루자전거공원 인근~암사동선사주거지 인근~고덕천 인근~춘천고속도로 인근
성내천길,5.49Km,한성백제박물관,아남아파트,1,아산병원 인근~풍납중학교 인근~몽촌토성 인근~올림픽수영장 인근~오륜주민센터 인근~오륜사거리 인근~아남아파트 인근
석촌호수 산책길,4.17km,서울삼전도비,방이동백제고분군,1,석촌호수길~석촌동백제초기적성총~방이동백제고분군
몽촌토성 나들길,3.67km,올림픽공원역 1번 출입구,88호수,2,몽촌토성~한성백제박물관~몽촌토성길~88호수
일자산 숲 나들길,5.21km,길동자연생태공원,둔촌이집선생 둔굴,2,길동자연생태공원~강동그린웨이 가족캠핑장~둔촌이집선생 둔굴
망월천길,3.98Km,강일리버파크2단지,강일리버파크1단지,1,공동주택 인근~강동중학교 인근~강일리버파크2단지 인근~강일리버파크1단지 인근
고덕천길,4.18Km,문희공유창모역입구,고덕주공6단지,1,고덕천교 인근~고덕차량기지 인근~강동고양차고지 인근~고덕주공6단지 인근
고덕산 산책길,1.90km,고덕동 생태경관보전지역,고덕산 정상,1,명일역 3번 출입구~고덕산 정상
8코스-북한산코스,34.5km,도봉탐방지원센터 옆,도봉산역,2,은평뉴타운~선림사~북한산생태공원~탕춘대성암문~불심원~연화정사~성북생태체험관~빨래골지킴터~이준열사묘소~419국립묘지~봉황각~우이령길입구~연산군묘~정의공주묘~무수골~도봉탐방지원센터~도봉산역
7코스-봉산?앵봉산코스,16.6km,지하철 6호선 월드컵경기장역,구파발역,2,가양역~노을공원~하늘공원~월드컵경기장~봉산~앵봉산~구파발역
6코스-안양천코스,18㎞,양화교폭포,가양역,1,석수역~안양천~한강~가양역
5코스-관악산코스,12.7㎞,관악산 끝부분,석수역,2,사당역~관악산~삼성산~석수역
4코스-대모?우면산코스,17.9㎞,양재시민의숲,사당역,2,수서역~대모산~구룡산~여의천~양재천~우면산~사당역
3코스-고덕?일자산코스,26.1㎞,길동자연생태공원,수서역,1,광나루역~고덕산~일자산~성내천~탄천~수서역
2코스-용마?아차산코스,12.6km,용마산 깔딱고개 쉼터,광나루역,2,화랑대역~묵동천~중랑캠핑숲~망우산~용마산~아차산~광나루역
1코스-수락?불암산코스,14.3km,경수사,화랑대역,3,도봉산역~서울창포원~덕릉고개~넓은마당~경수사~성관사~넓적바위~학도암~태릉~화랑대역
